Team,Group,Previous Appearances,Previous Titles,Previous Finals,Previous Semifinals,FIFA 2010 Ranking,FIFA.2014.Rank,Current FIFA Rank,Against,History with Opponent W-L,History with Opponent Goals
Nigeria,D,5,0,0,0,30,34,50,Argentina,-3,-1
Brazil,E,20,5,7,11,3,7,2,Switzerland,1,2
Switzerland,E,10,0,0,0,18,9,8,Brazil,-1,-2
Costarica,E,4,0,0,0,49,16,26,Serbia,N/A,N/A
Serbia,E,11,0,0,2,13,31,37,Costarica,N/A,N/A
Brazil,E,20,5,7,11,3,7,2,Costarica,8,19
Switzerland,E,10,0,0,0,18,9,8,Serbia,N/A,N/A
Costarica,E,4,0,0,0,49,16,26,Brazil,-8,-19
Serbia,E,11,0,0,2,13,31,37,Switzerland,N/A,N/A
Brazil,E,20,5,7,11,3,7,2,Serbia,1,1
Switzerland,E,10,0,0,0,18,9,8,Costarica,0,1
Costarica,E,4,0,0,0,49,16,26,Switzerland,0,-1
Serbia,E,11,0,0,2,13,31,37,Brazil,-1,-1
Germany,F,18,4,8,13,4,1,1,Mexico,4,13
Mexico,F,15,0,0,0,24,18,16,Germany,-4,-13
Sweden,F,11,0,1,4,35,29,18,Korea,1,2
Korea,F,9,0,0,1,44,147,59,Sweden,-1,-2
Germany,F,18,4,8,13,4,1,1,Sweden,2,10
Mexico,F,15,0,0,0,24,18,16,Korea,1,12
Sweden,F,11,0,1,4,35,29,18,Germany,-2,-10
Korea,F,9,0,0,1,44,147,59,Mexico,-1,-10
Germany,F,18,4,8,13,4,1,1,Korea,1,0
Mexico,F,15,0,0,0,24,18,16,Sweden,-2,-3
Sweden,F,11,0,1,4,35,29,18,Mexico,2,3
Korea,F,9,0,0,1,44,147,59,Germany,-1,0
Belgium,G,12,0,0,1,48,5,5,Panama,N/A,N/A
Panama,G,0,0,0,0,94,33,56,Belgium,N/A,N/A
Tunisia,G,4,0,0,0,65,42,27,England,-1,-2
England,G,14,1,1,2,7,20,15,Tunisia,1,2
Belgium,G,12,0,0,1,48,5,5,Tunisia,0,0
Panama,G,0,0,0,0,94,33,56,England,N/A,N/A
Tunisia,G,4,0,0,0,65,42,27,Belgium,0,0
England,G,14,1,1,2,7,20,15,Panama,N/A,N/A
Belgium,G,12,0,0,1,48,5,5,England,-17,-70
Panama,G,0,0,0,0,94,33,56,Tunisia,N/A,N/A
Tunisia,G,4,0,0,0,65,42,27,Panama,N/A,N/A
England,G,14,1,1,2,7,20,15,Belgium,17,70
Poland,H,7,0,0,2,56,61,7,Senegal,N/A,N/A
Senegal,H,1,0,0,0,91,62,23,Poland,N/A,N/A
Columbia,H,5,0,0,0,39,4,13,Japan,2,2
Japan,H,5,0,0,0,32,45,55,Columbia,-2,-2
Poland,H,7,0,0,2,56,61,7,Columbia,N/A,N/A
Senegal,H,1,0,0,0,91,62,23,Japan,2,3
Columbia,H,5,0,0,0,39,4,13,Poland,N/A,N/A
Japan,H,5,0,0,0,32,45,55,Senegal,-2,-3
Poland,H,7,0,0,2,56,61,7,Japan,2,3
Senegal,H,1,0,0,0,91,62,23,Columbia,0,0
Columbia,H,5,0,0,0,39,4,13,Senegal,0,0
Japan,H,5,0,0,0,32,45,55,Poland,-2,-3
